"","replication","l_seq","n_seq","motif","p.value","p.value.adj","criterion","nnoi","n.pos05","n.pos001","n.neg05","n.neg001","n.pos.adj05","n.pos.adj001","n.neg.adj05","n.neg.adj001"
"74",1,24,250,"2.3.4_2.1",0.128644369308657,1,"cs",1,0,0,4,0,0,0,0,0
"75",1,24,250,"1.4.4_1.2",0.45133241724001,1,"cs",1,0,0,4,0,0,0,0,0
"76",1,8,500,"3.2_2",0.0948860233155375,0.943494217238107,"ig",25,4,1,30,9,1,1,8,3
"77",1,8,500,"2.3_3",0.0450229604681764,0.808755500986786,"ig",1,0,0,33,10,0,0,9,4
"78",1,8,500,"3.1.1_0.1",3.67750274676837e-12,8.28663952271806e-10,"ig",1,0,0,33,9,0,0,8,3
"79",1,8,500,"2.3.4_2.1",0,0,"ig",1,0,0,33,9,0,0,8,3
"80",1,8,500,"1.4.4_1.2",1.2383427616669e-12,4.18559853443412e-10,"ig",1,0,0,33,9,0,0,8,3
"81",1,8,500,"3.2_2",0.0948860233155375,0.943494217238107,"kl",25,4,1,30,9,1,1,8,3
"82",1,8,500,"2.3_3",0.0450229604681764,0.808755500986786,"kl",1,0,0,33,10,0,0,9,4
"83",1,8,500,"3.1.1_0.1",3.67750274676837e-12,8.28663952271806e-10,"kl",1,0,0,33,9,0,0,8,3
"84",1,8,500,"2.3.4_2.1",0,0,"kl",1,0,0,33,9,0,0,8,3
"85",1,8,500,"1.4.4_1.2",1.2383427616669e-12,4.18559853443412e-10,"kl",1,0,0,33,9,0,0,8,3
"86",1,8,500,"3.2_2",0.0948860233155375,0.943494217238107,"cs",25,4,1,30,9,1,1,8,3
"87",1,8,500,"2.3_3",0.0450229604681764,0.808755500986786,"cs",1,0,0,33,10,0,0,9,4
"88",1,8,500,"3.1.1_0.1",3.67750274676837e-12,8.28663952271806e-10,"cs",1,0,0,33,9,0,0,8,3
"89",1,8,500,"2.3.4_2.1",0,0,"cs",1,0,0,33,9,0,0,8,3
"90",1,8,500,"1.4.4_1.2",1.2383427616669e-12,4.18559853443412e-10,"cs",1,0,0,33,9,0,0,8,3
"91",1,12,500,"3.2_2",0.189158834413636,1,"ig",25,0,0,10,2,0,0,2,2
"92",1,12,500,"2.3_3",0.0450241994403586,1,"ig",1,0,0,9,2,0,0,2,2
"93",1,12,500,"3.1.1_0.1",0.00363623161323847,0.491618514109841,"ig",1,0,0,9,2,0,0,2,2
"94",1,12,500,"2.3.4_2.1",1.31504496181378e-09,8.88970394186117e-07,"ig",1,0,0,9,1,0,0,1,1
"95",1,12,500,"1.4.4_1.2",3.37005976458471e-08,1.13908020042963e-05,"ig",1,0,0,9,1,0,0,1,1
"96",1,12,500,"3.2_2",0.189158834413636,1,"kl",25,0,0,10,2,0,0,2,2
"97",1,12,500,"2.3_3",0.0450241994403586,1,"kl",1,0,0,9,2,0,0,2,2
"98",1,12,500,"3.1.1_0.1",0.00363623161323847,0.491618514109841,"kl",1,0,0,9,2,0,0,2,2
"99",1,12,500,"2.3.4_2.1",1.31504496181378e-09,8.88970394186117e-07,"kl",1,0,0,9,1,0,0,1,1
"100",1,12,500,"1.4.4_1.2",3.37005976458471e-08,1.13908020042963e-05,"kl",1,0,0,9,1,0,0,1,1
"101",1,12,500,"3.2_2",0.189158834413636,1,"cs",25,0,0,10,2,0,0,2,2
"102",1,12,500,"2.3_3",0.0450241994403586,1,"cs",1,0,0,9,2,0,0,2,2
"103",1,12,500,"3.1.1_0.1",0.00363623161323847,0.491618514109841,"cs",1,0,0,9,2,0,0,2,2
"104",1,12,500,"2.3.4_2.1",1.31504496181378e-09,8.88970394186117e-07,"cs",1,0,0,9,1,0,0,1,1
"105",1,12,500,"1.4.4_1.2",3.37005976458471e-08,1.13908020042963e-05,"cs",1,0,0,9,1,0,0,1,1
"106",1,16,500,"3.2_2",1,1,"ig",25,0,0,4,2,0,0,2,1
"107",1,16,500,"2.3_3",0.331236639330008,1,"ig",1,0,0,4,2,0,0,2,1
"108",1,16,500,"3.1.1_0.1",0.0872243997164315,1,"ig",1,0,0,4,2,0,0,2,1
"109",1,16,500,"2.3.4_2.1",8.64663451949355e-10,5.84512493517764e-07,"ig",1,0,0,3,1,0,0,1,0
"110",1,16,500,"1.4.4_1.2",5.98057201450786e-06,0.00202143334090366,"ig",1,0,0,3,1,0,0,1,1
"111",1,16,500,"3.2_2",1,1,"kl",25,0,0,4,2,0,0,2,1
"112",1,16,500,"2.3_3",0.331236639330008,1,"kl",1,0,0,4,2,0,0,2,1
"113",1,16,500,"3.1.1_0.1",0.0872243997164315,1,"kl",1,0,0,4,2,0,0,2,1
"114",1,16,500,"2.3.4_2.1",8.64663451949355e-10,5.84512493517764e-07,"kl",1,0,0,3,1,0,0,1,0
